Point,Corner,Vds,Vgs,temperature,Pass/Fail,gm_n,gm_p,ids_n,ids_p,rds_n,rds_p
1,nom,900e-3,900e-3,27,,130.1e-6,673.3e-12,34.21e-6,-20.8e-12,26.3e3,43.27e9
1,C0_0,0,0,-50,,0,0,0,-0,inf,inf
1,C0_1,0,62.07e-3,-50,,0,0,0,-0,inf,inf
1,C0_2,0,124.1e-3,-50,,0,0,0,-0,inf,inf
1,C0_3,0,186.2e-3,-50,,0,0,0,-0,inf,inf
1,C0_4,0,248.3e-3,-50,,0,0,0,-0,inf,inf
1,C0_5,0,310.3e-3,-50,,0,0,0,-0,inf,inf
1,C0_6,0,372.4e-3,-50,,0,0,0,-0,inf,inf
1,C0_7,0,434.5e-3,-50,,0,0,0,-0,inf,inf
1,C0_8,0,496.6e-3,-50,,0,0,0,-0,inf,inf
1,C0_9,0,558.6e-3,-50,,0,0,0,-0,inf,inf
1,C0_10,0,620.7e-3,-50,,0,0,0,-0,inf,inf
1,C0_11,0,682.8e-3,-50,,0,0,0,-0,inf,inf
1,C0_12,0,744.8e-3,-50,,0,0,0,-0,inf,inf
1,C0_13,0,806.9e-3,-50,,0,0,0,-0,inf,inf
1,C0_14,0,869e-3,-50,,0,0,0,-0,inf,inf
1,C0_15,0,931e-3,-50,,0,0,0,-0,inf,inf
1,C0_16,0,993.1e-3,-50,,0,0,0,-0,inf,inf
1,C0_17,0,1.055,-50,,0,0,0,-0,inf,inf
1,C0_18,0,1.117,-50,,0,0,0,-0,inf,inf
1,C0_19,0,1.179,-50,,0,0,0,-0,inf,inf
1,C0_20,0,1.241,-50,,0,0,0,-0,inf,inf
1,C0_21,0,1.303,-50,,0,0,0,-0,inf,inf
1,C0_22,0,1.366,-50,,0,0,0,-0,inf,inf
1,C0_23,0,1.428,-50,,0,0,0,-0,inf,inf
1,C0_24,0,1.49,-50,,0,0,0,-0,inf,inf
1,C0_25,0,1.552,-50,,0,0,0,-0,inf,inf
1,C0_26,0,1.614,-50,,0,0,0,-0,inf,inf
1,C0_27,0,1.676,-50,,0,0,0,-0,inf,inf
1,C0_28,0,1.738,-50,,0,0,0,-0,inf,inf
1,C0_29,0,1.8,-50,,0,0,0,-0,inf,inf
1,C0_30,900e-3,0,-50,,347.4e-15,172.4e-6,8.335e-15,-46.94e-6,108e12,19.17e3
1,C0_31,900e-3,62.07e-3,-50,,4.614e-12,155.6e-6,110.7e-15,-36.76e-6,8.127e12,24.48e3
1,C0_32,900e-3,124.1e-3,-50,,61.15e-12,137.5e-6,1.469e-12,-27.66e-6,612.6e9,32.54e3
1,C0_33,900e-3,186.2e-3,-50,,802.4e-12,118.1e-6,19.37e-12,-19.72e-6,46.47e9,45.63e3
1,C0_34,900e-3,248.3e-3,-50,,10.13e-9,97.26e-6,248.9e-12,-13.03e-6,3.615e9,69.05e3
1,C0_35,900e-3,310.3e-3,-50,,111.4e-9,74.88e-6,2.919e-9,-7.684e-6,308.3e6,117.1e3
1,C0_36,900e-3,372.4e-3,-50,,863.5e-9,50.71e-6,26.56e-9,-3.778e-6,33.89e6,238.2e3
1,C0_37,900e-3,434.5e-3,-50,,4.327e-6,26.4e-6,163.8e-9,-1.396e-6,5.494e6,644.5e3
1,C0_38,900e-3,496.6e-3,-50,,15.88e-6,8.844e-6,729.5e-9,-359e-9,1.234e6,2.507e6
1,C0_39,900e-3,558.6e-3,-50,,40.69e-6,1.975e-6,2.42e-6,-67.6e-9,371.9e3,13.31e6
1,C0_40,900e-3,620.7e-3,-50,,73.02e-6,324.9e-9,5.937e-6,-9.151e-9,151.6e3,98.35e6
1,C0_41,900e-3,682.8e-3,-50,,104.3e-6,34.37e-9,11.46e-6,-842e-12,78.56e3,1.069e9
1,C0_42,900e-3,744.8e-3,-50,,131.7e-6,2.652e-9,18.8e-6,-61.71e-12,47.87e3,14.58e9
1,C0_43,900e-3,806.9e-3,-50,,155.3e-6,182.5e-12,27.72e-6,-4.185e-12,32.47e3,215.1e9
1,C0_44,900e-3,869e-3,-50,,175.5e-6,12.16e-12,38e-6,-277.9e-15,23.69e3,3.239e12
1,C0_45,900e-3,931e-3,-50,,192.6e-6,803.8e-15,49.43e-6,-18.35e-15,18.21e3,49.03e12
1,C0_46,900e-3,993.1e-3,-50,,207e-6,53.03e-15,61.84e-6,-1.211e-15,14.55e3,743.4e12
1,C0_47,900e-3,1.055,-50,,218.8e-6,3.497e-15,75.05e-6,-79.83e-18,11.99e3,11.27e15
1,C0_48,900e-3,1.117,-50,,228.3e-6,230.6e-18,88.93e-6,-5.264e-18,10.12e3,171e15
1,C0_49,900e-3,1.179,-50,,235.7e-6,15.2e-18,103.3e-6,-347.1e-21,8.709e3,2.593e18
1,C0_50,900e-3,1.241,-50,,241.2e-6,1.002e-18,118.1e-6,-22.88e-21,7.618e3,39.33e18
1,C0_51,900e-3,1.303,-50,,245e-6,66.1e-21,133.2e-6,-1.509e-21,6.755e3,596.5e18
1,C0_52,900e-3,1.366,-50,,247.2e-6,4.358e-21,148.5e-6,-99.48e-24,6.061e3,9.047e21
1,C0_53,900e-3,1.428,-50,,248e-6,287.3e-24,163.9e-6,-6.559e-24,5.492e3,137.2e21
1,C0_54,900e-3,1.49,-50,,247.5e-6,18.95e-24,179.2e-6,-432.5e-27,5.021e3,2.081e24
1,C0_55,900e-3,1.552,-50,,245.7e-6,1.249e-24,194.5e-6,-28.51e-27,4.627e3,31.56e24
1,C0_56,900e-3,1.614,-50,,242.8e-6,82.36e-27,209.7e-6,-1.88e-27,4.292e3,478.7e24
