Point,Corner,mc_iteration,temperature,Pass/Fail,Vthn,Id
1,-40,1,-40,,512.9e-3,
2,-40,2,-40,,521.6e-3,
3,-40,3,-40,,503.4e-3,
4,-40,4,-40,,497.8e-3,
5,-40,5,-40,,514.8e-3,
6,-40,6,-40,,526.6e-3,
7,-40,7,-40,,509.5e-3,
8,-40,8,-40,,506.6e-3,
9,-40,9,-40,,524.3e-3,
10,-40,10,-40,,515.4e-3,
11,-40,11,-40,,489.3e-3,
12,-40,12,-40,,511.4e-3,
13,-40,13,-40,,529.8e-3,
14,-40,14,-40,,524.1e-3,
15,-40,15,-40,,501.9e-3,
16,-40,16,-40,,508.1e-3,
17,-40,17,-40,,527.1e-3,
18,-40,18,-40,,514.7e-3,
19,-40,19,-40,,496.6e-3,
20,-40,20,-40,,508.5e-3,
21,-40,21,-40,,533.4e-3,
22,-40,22,-40,,522.8e-3,
23,-40,23,-40,,501.8e-3,
24,-40,24,-40,,551.4e-3,
25,-40,25,-40,,513.3e-3,
26,-40,26,-40,,520.1e-3,
27,-40,27,-40,,506.6e-3,
28,-40,28,-40,,498.3e-3,
29,-40,29,-40,,517.8e-3,
30,-40,30,-40,,529.1e-3,
31,-40,31,-40,,513.4e-3,
32,-40,32,-40,,521.3e-3,
33,-40,33,-40,,503.3e-3,
34,-40,34,-40,,512.4e-3,
35,-40,35,-40,,534.1e-3,
36,-40,36,-40,,516.3e-3,
37,-40,37,-40,,494.4e-3,
38,-40,38,-40,,507.9e-3,
39,-40,39,-40,,526.6e-3,
40,-40,40,-40,,529e-3,
41,-40,41,-40,,511.3e-3,
42,-40,42,-40,,500.8e-3,
43,-40,43,-40,,517.7e-3,
44,-40,44,-40,,523.7e-3,
45,-40,45,-40,,505.2e-3,
46,-40,46,-40,,491.7e-3,
47,-40,47,-40,,514.4e-3,
48,-40,48,-40,,528e-3,
49,-40,49,-40,,511.3e-3,
50,-40,50,-40,,497.3e-3,
1,-25,1,-25,,498.8e-3,
2,-25,2,-25,,507.6e-3,
3,-25,3,-25,,489.2e-3,
4,-25,4,-25,,484e-3,
5,-25,5,-25,,500.5e-3,
6,-25,6,-25,,512.6e-3,
7,-25,7,-25,,495.4e-3,
8,-25,8,-25,,492.5e-3,
9,-25,9,-25,,510.5e-3,
10,-25,10,-25,,501.3e-3,
11,-25,11,-25,,475.1e-3,
12,-25,12,-25,,497.4e-3,
13,-25,13,-25,,515.5e-3,
14,-25,14,-25,,510.2e-3,
15,-25,15,-25,,488e-3,
16,-25,16,-25,,494.1e-3,
17,-25,17,-25,,513.2e-3,
18,-25,18,-25,,500.7e-3,
19,-25,19,-25,,482.5e-3,
20,-25,20,-25,,494.4e-3,
21,-25,21,-25,,519.3e-3,
22,-25,22,-25,,508.6e-3,
23,-25,23,-25,,487.7e-3,
24,-25,24,-25,,537.5e-3,
25,-25,25,-25,,499.2e-3,
26,-25,26,-25,,505.9e-3,
27,-25,27,-25,,492.8e-3,
28,-25,28,-25,,484.1e-3,
29,-25,29,-25,,503.9e-3,
30,-25,30,-25,,515.1e-3,
31,-25,31,-25,,499.5e-3,
32,-25,32,-25,,507.3e-3,
33,-25,33,-25,,489.3e-3,
34,-25,34,-25,,498.3e-3,
35,-25,35,-25,,520.1e-3,
36,-25,36,-25,,502.2e-3,
37,-25,37,-25,,480.3e-3,
38,-25,38,-25,,493.8e-3,
39,-25,39,-25,,512.5e-3,
40,-25,40,-25,,514.9e-3,
41,-25,41,-25,,497.3e-3,
42,-25,42,-25,,487e-3,
43,-25,43,-25,,503.5e-3,
44,-25,44,-25,,509.8e-3,
45,-25,45,-25,,491e-3,
46,-25,46,-25,,477.7e-3,
47,-25,47,-25,,500.4e-3,
48,-25,48,-25,,513.9e-3,
49,-25,49,-25,,497.5e-3,
50,-25,50,-25,,483e-3,
1,0,1,0,,475.3e-3,
2,0,2,0,,484.3e-3,
3,0,3,0,,465.4e-3,
4,0,4,0,,461e-3,
5,0,5,0,,476.7e-3,
6,0,6,0,,489.3e-3,
7,0,7,0,,472.1e-3,
8,0,8,0,,469e-3,
