Point,Corner,temperature,vgs,Pass/Fail,Vthn,gmn,Ron,Id,Ids
2,nom,-40,0,,488.2e-3,1.486e-12,24.19e12,37.21e-15,37.21e-15
8,nom,-40,18.18e-3,,488.2e-3,3.071e-12,11.7e12,76.91e-15,76.91e-15
14,nom,-40,36.36e-3,,488.2e-3,6.348e-12,5.661e12,159e-15,159e-15
20,nom,-40,54.55e-3,,488.2e-3,13.12e-12,2.739e12,328.5e-15,328.5e-15
26,nom,-40,72.73e-3,,488.2e-3,27.1e-12,1.326e12,678.9e-15,678.9e-15
32,nom,-40,90.91e-3,,488.2e-3,55.97e-12,641.7e9,1.403e-12,1.403e-12
38,nom,-40,109.1e-3,,488.2e-3,115.5e-12,310.7e9,2.897e-12,2.897e-12
44,nom,-40,127.3e-3,,488.2e-3,238.3e-12,150.5e9,5.981e-12,5.981e-12
50,nom,-40,145.5e-3,,488.2e-3,491.2e-12,72.94e9,12.34e-12,12.34e-12
56,nom,-40,163.6e-3,,488.2e-3,1.011e-9,35.39e9,25.43e-12,25.43e-12
62,nom,-40,181.8e-3,,488.2e-3,2.075e-9,17.19e9,52.34e-12,52.34e-12
68,nom,-40,200e-3,,488.2e-3,4.248e-9,8.372e9,107.5e-12,107.5e-12
74,nom,-40,218.2e-3,,488.2e-3,8.653e-9,4.088e9,220.1e-12,220.1e-12
80,nom,-40,236.4e-3,,488.2e-3,17.51e-9,2.006e9,448.7e-12,448.7e-12
86,nom,-40,254.5e-3,,488.2e-3,35.08e-9,990.3e6,908.8e-12,908.8e-12
92,nom,-40,272.7e-3,,488.2e-3,69.33e-9,493.4e6,1.824e-9,1.824e-9
98,nom,-40,290.9e-3,,488.2e-3,134.5e-9,248.9e6,3.615e-9,3.615e-9
104,nom,-40,309.1e-3,,488.2e-3,254.7e-9,127.7e6,7.045e-9,7.045e-9
110,nom,-40,327.3e-3,,488.2e-3,467.8e-9,66.99e6,13.44e-9,13.44e-9
116,nom,-40,345.5e-3,,488.2e-3,829.6e-9,36.07e6,24.95e-9,24.95e-9
122,nom,-40,363.6e-3,,488.2e-3,1.417e-6,20.02e6,44.96e-9,44.96e-9
128,nom,-40,381.8e-3,,488.2e-3,2.33e-6,11.47e6,78.44e-9,78.44e-9
134,nom,-40,400e-3,,488.2e-3,3.703e-6,6.794e6,132.5e-9,132.5e-9
140,nom,-40,418.2e-3,,488.2e-3,5.705e-6,4.15e6,216.9e-9,216.9e-9
146,nom,-40,436.4e-3,,488.2e-3,8.547e-6,2.609e6,345e-9,345e-9
152,nom,-40,454.5e-3,,488.2e-3,12.46e-6,1.685e6,534.2e-9,534.2e-9
158,nom,-40,472.7e-3,,488.2e-3,17.68e-6,1.117e6,806.1e-9,806.1e-9
164,nom,-40,490.9e-3,,488.2e-3,24.34e-6,759e3,1.186e-6,1.186e-6
170,nom,-40,509.1e-3,,488.2e-3,32.5e-6,529.3e3,1.7e-6,1.7e-6
176,nom,-40,527.3e-3,,488.2e-3,42.02e-6,378.8e3,2.376e-6,2.376e-6
182,nom,-40,545.5e-3,,488.2e-3,52.67e-6,278.2e3,3.235e-6,3.235e-6
188,nom,-40,563.6e-3,,488.2e-3,64.1e-6,209.5e3,4.295e-6,4.295e-6
194,nom,-40,581.8e-3,,488.2e-3,75.97e-6,161.6e3,5.568e-6,5.568e-6
200,nom,-40,600e-3,,488.2e-3,87.96e-6,127.5e3,7.058e-6,7.058e-6
206,nom,-40,618.2e-3,,488.2e-3,99.83e-6,102.7e3,8.765e-6,8.765e-6
212,nom,-40,636.4e-3,,488.2e-3,111.4e-6,84.23e3,10.69e-6,10.69e-6
218,nom,-40,654.5e-3,,488.2e-3,122.6e-6,70.25e3,12.81e-6,12.81e-6
224,nom,-40,672.7e-3,,488.2e-3,133.2e-6,59.46e3,15.14e-6,15.14e-6
230,nom,-40,690.9e-3,,488.2e-3,143.4e-6,50.98e3,17.65e-6,17.65e-6
236,nom,-40,709.1e-3,,488.2e-3,153.1e-6,44.23e3,20.35e-6,20.35e-6
242,nom,-40,727.3e-3,,488.2e-3,162.3e-6,38.77e3,23.21e-6,23.21e-6
248,nom,-40,745.5e-3,,488.2e-3,171e-6,34.29e3,26.24e-6,26.24e-6
254,nom,-40,763.6e-3,,488.2e-3,179.3e-6,30.58e3,29.43e-6,29.43e-6
260,nom,-40,781.8e-3,,488.2e-3,187.2e-6,27.47e3,32.76e-6,32.76e-6
266,nom,-40,800e-3,,488.2e-3,194.6e-6,24.84e3,36.23e-6,36.23e-6
272,nom,-40,818.2e-3,,488.2e-3,201.7e-6,22.6e3,39.83e-6,39.83e-6
278,nom,-40,836.4e-3,,488.2e-3,208.4e-6,20.66e3,43.56e-6,43.56e-6
284,nom,-40,854.5e-3,,488.2e-3,214.7e-6,18.99e3,47.4e-6,47.4e-6
290,nom,-40,872.7e-3,,488.2e-3,220.7e-6,17.52e3,51.36e-6,51.36e-6
296,nom,-40,890.9e-3,,488.2e-3,226.4e-6,16.24e3,55.42e-6,55.42e-6
302,nom,-40,909.1e-3,,488.2e-3,231.7e-6,15.11e3,59.58e-6,59.58e-6
308,nom,-40,927.3e-3,,488.2e-3,236.8e-6,14.1e3,63.84e-6,63.84e-6
