Point,Corner,IDS,M0.l,VDS,temperature,Pass/Fail,gmn_raw,idn,gmp_raw,idp,vgsn_raw,vgsp_raw,gdsp_raw,gdsn_raw,Ftn,Ftp
6,nom,10e-9,180e-9,900e-3,-50,,254.4e-9,9.998e-9,229.1e-9,-9.998e-9,611.5e-3,189.9e-3,2.153e-9,2.153e-9,36.76e6,38.3e6
7,nom,10e-9,360e-9,900e-3,-50,,254.4e-9,9.998e-9,229.1e-9,-9.998e-9,611.5e-3,189.9e-3,2.153e-9,2.153e-9,36.76e6,38.3e6
8,nom,10e-9,540e-9,900e-3,-50,,252.1e-9,9.998e-9,229.1e-9,-9.998e-9,632.7e-3,189.9e-3,2.153e-9,2.153e-9,35.23e6,38.3e6
9,nom,10e-9,720e-9,900e-3,-50,,243.8e-9,10e-9,229.1e-9,-9.998e-9,670.6e-3,189.9e-3,2.153e-9,2.153e-9,29.17e6,38.3e6
10,nom,10e-9,1e-6,900e-3,-50,,236.9e-9,10e-9,229.1e-9,-9.998e-9,680.6e-3,189.9e-3,2.153e-9,2.153e-9,22.39e6,38.3e6
96,nom,10e-9,180e-9,400e-3,-50,,242.8e-9,9.999e-9,229.9e-9,-10e-9,628.4e-3,-315.7e-3,3.319e-9,3.319e-9,33.75e6,38.02e6
97,nom,10e-9,360e-9,400e-3,-50,,242.8e-9,9.999e-9,229.9e-9,-10e-9,628.4e-3,-315.7e-3,3.319e-9,3.319e-9,33.75e6,38.02e6
98,nom,10e-9,540e-9,400e-3,-50,,242e-9,9.999e-9,229.9e-9,-10e-9,647.9e-3,-315.7e-3,3.319e-9,3.319e-9,32.59e6,38.02e6
99,nom,10e-9,720e-9,400e-3,-50,,238.5e-9,10e-9,229.9e-9,-10e-9,680e-3,-315.7e-3,3.319e-9,3.319e-9,27.64e6,38.02e6
100,nom,10e-9,1e-6,400e-3,-50,,234.9e-9,9.999e-9,229.9e-9,-10e-9,685.9e-3,-315.7e-3,3.319e-9,3.319e-9,21.62e6,38.02e6
186,nom,10e-9,180e-9,1.4,-50,,262.5e-9,9.998e-9,228.5e-9,-9.997e-9,600.2e-3,694.1e-3,1.756e-9,1.756e-9,38.86e6,38.44e6
187,nom,10e-9,360e-9,1.4,-50,,262.5e-9,9.998e-9,228.5e-9,-9.997e-9,600.2e-3,694.1e-3,1.756e-9,1.756e-9,38.86e6,38.44e6
188,nom,10e-9,540e-9,1.4,-50,,259.4e-9,9.998e-9,228.5e-9,-9.997e-9,622.3e-3,694.1e-3,1.756e-9,1.756e-9,37.18e6,38.44e6
189,nom,10e-9,720e-9,1.4,-50,,247.9e-9,9.998e-9,228.5e-9,-9.997e-9,663.8e-3,694.1e-3,1.756e-9,1.756e-9,30.41e6,38.44e6
190,nom,10e-9,1e-6,1.4,-50,,238.4e-9,9.998e-9,228.5e-9,-9.997e-9,676.9e-3,694.1e-3,1.756e-9,1.756e-9,23.01e6,38.44e6
276,nom,10e-9,180e-9,1.8,-50,,267.5e-9,9.998e-9,228.2e-9,-9.995e-9,593.1e-3,1.097,1.574e-9,1.574e-9,39.95e6,38.5e6
277,nom,10e-9,360e-9,1.8,-50,,267.5e-9,9.998e-9,228.2e-9,-9.995e-9,593.1e-3,1.097,1.574e-9,1.574e-9,39.95e6,38.5e6
278,nom,10e-9,540e-9,1.8,-50,,264.1e-9,9.998e-9,228.2e-9,-9.995e-9,615.7e-3,1.097,1.574e-9,1.574e-9,38.19e6,38.5e6
279,nom,10e-9,720e-9,1.8,-50,,250.7e-9,9.998e-9,228.2e-9,-9.995e-9,659.4e-3,1.097,1.574e-9,1.574e-9,31.05e6,38.5e6
280,nom,10e-9,1e-6,1.8,-50,,239.5e-9,9.998e-9,228.2e-9,-9.995e-9,674.4e-3,1.097,1.574e-9,1.574e-9,23.31e6,38.5e6
366,nom,21.54e-9,180e-9,900e-3,-50,,498.6e-9,21.54e-9,489.7e-9,-21.54e-9,643.2e-3,156.2e-3,4.42e-9,4.42e-9,71.38e6,79.12e6
367,nom,21.54e-9,360e-9,900e-3,-50,,498.6e-9,21.54e-9,489.7e-9,-21.54e-9,643.2e-3,156.2e-3,4.42e-9,4.42e-9,71.38e6,79.12e6
368,nom,21.54e-9,540e-9,900e-3,-50,,494.1e-9,21.54e-9,489.7e-9,-21.54e-9,664.6e-3,156.2e-3,4.42e-9,4.42e-9,68.23e6,79.12e6
369,nom,21.54e-9,720e-9,900e-3,-50,,480.2e-9,21.54e-9,489.7e-9,-21.54e-9,703.5e-3,156.2e-3,4.42e-9,4.42e-9,55.96e6,79.12e6
