time (s),f1p (temp=-4.00e+01) (V),time (s),f1p (temp=-1.85e+01) (V),time (s),f1p (temp=3.00e+00) (V),time (s),f1p (temp=2.45e+01) (V),time (s),f1p (temp=4.60e+01) (V),time (s),f1p (temp=6.75e+01) (V),time (s),f1p (temp=8.90e+01) (V),time (s),f1p (temp=1.10e+02) (V),time (s),f1p (temp=1.32e+02) (V),time (s),f1p (temp=1.54e+02) (V),time (s),f1p (temp=1.75e+02) (V),time (s),f1m (temp=-4.00e+01) (V),time (s),f1m (temp=-1.85e+01) (V),time (s),f1m (temp=3.00e+00) (V),time (s),f1m (temp=2.45e+01) (V),time (s),f1m (temp=4.60e+01) (V),time (s),f1m (temp=6.75e+01) (V),time (s),f1m (temp=8.90e+01) (V),time (s),f1m (temp=1.10e+02) (V),time (s),f1m (temp=1.32e+02) (V),time (s),f1m (temp=1.54e+02) (V),time (s),f1m (temp=1.75e+02) (V)
0.000,697.2E-12,0.000,756.8E-12,0.000,818.8E-12,0.000,911.3E-12,0.000,1.174E-9,0.000,2.159E-9,0.000,5.662E-9,0.000,16.68E-9,0.000,47.39E-9,0.000,124.4E-9,0.000,300.3E-9,0.000,1.800,0.000,1.800,0.000,1.800,0.000,1.800,0.000,1.800,0.000,1.800,0.000,1.800,0.000,1.800,0.000,1.800,0.000,1.800,0.000,1.800
2.500E-12,351.3E-9,2.500E-12,365.0E-9,2.500E-12,377.1E-9,2.500E-12,387.6E-9,2.500E-12,396.8E-9,2.500E-12,404.6E-9,2.500E-12,412.3E-9,2.500E-12,423.1E-9,2.500E-12,454.2E-9,2.500E-12,536.3E-9,2.500E-12,716.7E-9,2.500E-12,1.800,2.500E-12,1.800,2.500E-12,1.800,2.500E-12,1.800,2.500E-12,1.800,2.500E-12,1.800,2.500E-12,1.800,2.500E-12,1.800,2.500E-12,1.800,2.500E-12,1.800,2.500E-12,1.800
3.987E-12,899.5E-9,3.987E-12,934.4E-9,3.987E-12,964.9E-9,3.987E-12,991.9E-9,3.987E-12,1.016E-6,3.987E-12,1.037E-6,3.987E-12,1.057E-6,3.987E-12,1.080E-6,3.987E-12,1.113E-6,3.987E-12,1.178E-6,3.987E-12,1.365E-6,3.987E-12,1.800,3.987E-12,1.800,3.987E-12,1.800,3.987E-12,1.800,3.987E-12,1.800,3.987E-12,1.800,3.987E-12,1.800,3.987E-12,1.800,3.987E-12,1.800,3.987E-12,1.800,3.987E-12,1.800
6.483E-12,2.151E-6,6.483E-12,2.247E-6,6.483E-12,2.332E-6,6.483E-12,2.407E-6,6.483E-12,2.474E-6,6.483E-12,2.535E-6,6.483E-12,2.591E-6,6.483E-12,2.649E-6,6.483E-12,2.716E-6,6.483E-12,2.817E-6,6.483E-12,2.984E-6,6.483E-12,1.800,6.483E-12,1.800,6.483E-12,1.800,6.483E-12,1.800,6.483E-12,1.800,6.483E-12,1.800,6.483E-12,1.800,6.483E-12,1.800,6.483E-12,1.800,6.483E-12,1.800,6.483E-12,1.800
10.19E-12,4.101E-6,10.23E-12,4.363E-6,10.28E-12,4.606E-6,10.33E-12,4.831E-6,10.37E-12,5.042E-6,10.43E-12,5.243E-6,10.44E-12,5.411E-6,10.50E-12,5.600E-6,10.56E-12,5.806E-6,10.61E-12,6.034E-6,10.66E-12,6.336E-6,10.19E-12,1.800,10.23E-12,1.800,10.28E-12,1.800,10.33E-12,1.800,10.37E-12,1.800,10.43E-12,1.800,10.44E-12,1.800,10.50E-12,1.800,10.56E-12,1.800,10.61E-12,1.800,10.66E-12,1.800
13.50E-12,5.707E-6,13.58E-12,6.140E-6,13.66E-12,6.546E-6,13.74E-12,6.928E-6,13.83E-12,7.291E-6,13.91E-12,7.639E-6,13.97E-12,7.954E-6,14.06E-12,8.274E-6,14.15E-12,8.607E-6,14.24E-12,8.976E-6,14.34E-12,9.422E-6,13.50E-12,1.800,13.58E-12,1.800,13.66E-12,1.800,13.74E-12,1.800,13.83E-12,1.800,13.91E-12,1.800,13.97E-12,1.800,14.06E-12,1.800,14.15E-12,1.800,14.24E-12,1.800,14.34E-12,1.800
17.34E-12,7.302E-6,17.43E-12,7.923E-6,17.52E-12,8.510E-6,17.62E-12,9.068E-6,17.73E-12,9.601E-6,17.84E-12,10.11E-6,17.92E-12,10.59E-6,18.04E-12,11.07E-6,18.16E-12,11.55E-6,18.25E-12,12.05E-6,18.35E-12,12.63E-6,17.34E-12,1.800,17.43E-12,1.800,17.52E-12,1.800,17.62E-12,1.800,17.73E-12,1.800,17.84E-12,1.800,17.92E-12,1.800,18.04E-12,1.800,18.16E-12,1.800,18.25E-12,1.800,18.35E-12,1.800
21.75E-12,8.794E-6,21.82E-12,9.605E-6,21.91E-12,10.38E-6,22.01E-12,11.12E-6,22.12E-12,11.83E-6,22.23E-12,12.51E-6,22.32E-12,13.15E-6,22.45E-12,13.80E-6,22.58E-12,14.44E-6,22.71E-12,15.10E-6,22.82E-12,15.83E-6,21.75E-12,1.800,21.82E-12,1.800,21.91E-12,1.800,22.01E-12,1.800,22.12E-12,1.800,22.23E-12,1.800,22.32E-12,1.800,22.45E-12,1.800,22.58E-12,1.800,22.71E-12,1.800,22.82E-12,1.800
26.86E-12,10.14E-6,26.88E-12,11.14E-6,26.91E-12,12.09E-6,26.97E-12,13.00E-6,27.04E-12,13.88E-6,27.13E-12,14.73E-6,27.20E-12,15.54E-6,27.31E-12,16.34E-6,27.44E-12,17.14E-6,27.56E-12,17.95E-6,27.69E-12,18.84E-6,26.86E-12,1.800,26.88E-12,1.800,26.91E-12,1.800,26.97E-12,1.800,27.04E-12,1.800,27.13E-12,1.800,27.20E-12,1.800,27.31E-12,1.800,27.44E-12,1.800,27.56E-12,1.800,27.69E-12,1.800
32.99E-12,11.36E-6,32.87E-12,12.52E-6,32.78E-12,13.64E-6,32.74E-12,14.72E-6,32.73E-12,15.77E-6,32.75E-12,16.78E-6,32.75E-12,17.74E-6,32.82E-12,18.69E-6,32.91E-12,19.64E-6,32.99E-12,20.59E-6,33.09E-12,21.61E-6,32.99E-12,1.800,32.87E-12,1.800,32.78E-12,1.800,32.74E-12,1.800,32.73E-12,1.800,32.75E-12,1.800,32.75E-12,1.800,32.82E-12,1.800,32.91E-12,1.800,32.99E-12,1.800,33.09E-12,1.800
