time (s),f1p (temp=-4.00e+01) (V),time (s),f1p (temp=-1.85e+01) (V),time (s),f1p (temp=3.00e+00) (V),time (s),f1p (temp=2.45e+01) (V),time (s),f1p (temp=4.60e+01) (V),time (s),f1p (temp=6.75e+01) (V),time (s),f1p (temp=8.90e+01) (V),time (s),f1p (temp=1.10e+02) (V),time (s),f1p (temp=1.32e+02) (V),time (s),f1p (temp=1.54e+02) (V),time (s),f1p (temp=1.75e+02) (V),time (s),f1m (temp=-4.00e+01) (V),time (s),f1m (temp=-1.85e+01) (V),time (s),f1m (temp=3.00e+00) (V),time (s),f1m (temp=2.45e+01) (V),time (s),f1m (temp=4.60e+01) (V),time (s),f1m (temp=6.75e+01) (V),time (s),f1m (temp=8.90e+01) (V),time (s),f1m (temp=1.10e+02) (V),time (s),f1m (temp=1.32e+02) (V),time (s),f1m (temp=1.54e+02) (V),time (s),f1m (temp=1.75e+02) (V)
0.000,219.4e-12,0.000,243.7e-12,0.000,290.0e-12,0.000,474.4e-12,0.000,1.299e-9,0.000,4.520e-9,0.000,15.27e-9,0.000,46.51e-9,0.000,127.3e-9,0.000,316.0e-9,0.000,721.2e-9,0.000,1.800,0.000,1.800,0.000,1.800,0.000,1.800,0.000,1.800,0.000,1.800,0.000,1.800,0.000,1.800,0.000,1.800,0.000,1.800,0.000,1.800
2.500e-12,2.380e-9,2.500e-12,2.545e-9,2.500e-12,2.718e-9,2.500e-12,3.018e-9,2.500e-12,3.949e-9,2.500e-12,7.265e-9,2.500e-12,18.10e-9,2.500e-12,49.42e-9,2.500e-12,130.2e-9,2.500e-12,319.0e-9,2.500e-12,724.2e-9,2.500e-12,1.800,2.500e-12,1.800,2.500e-12,1.800,2.500e-12,1.800,2.500e-12,1.800,2.500e-12,1.800,2.500e-12,1.800,2.500e-12,1.800,2.500e-12,1.800,2.500e-12,1.800,2.500e-12,1.800
3.987e-12,5.838e-9,3.987e-12,6.223e-9,3.987e-12,6.594e-9,3.987e-12,7.074e-9,3.987e-12,8.168e-9,3.987e-12,11.63e-9,3.987e-12,22.60e-9,3.987e-12,54.01e-9,3.987e-12,134.9e-9,3.987e-12,323.8e-9,3.987e-12,729.0e-9,3.987e-12,1.800,3.987e-12,1.800,3.987e-12,1.800,3.987e-12,1.800,3.987e-12,1.800,3.987e-12,1.800,3.987e-12,1.800,3.987e-12,1.800,3.987e-12,1.800,3.987e-12,1.800,3.987e-12,1.800
6.483e-12,12.68e-9,6.483e-12,13.66e-9,6.483e-12,14.58e-9,6.483e-12,15.57e-9,6.483e-12,17.13e-9,6.483e-12,21.02e-9,6.483e-12,32.39e-9,6.483e-12,64.17e-9,6.483e-12,145.4e-9,6.483e-12,334.5e-9,6.483e-12,740.0e-9,6.483e-12,1.800,6.483e-12,1.800,6.483e-12,1.800,6.483e-12,1.800,6.483e-12,1.800,6.483e-12,1.800,6.483e-12,1.800,6.483e-12,1.800,6.483e-12,1.800,6.483e-12,1.800,6.483e-12,1.800
11.48e-12,20.54e-9,11.48e-12,22.96e-9,11.48e-12,25.28e-9,11.48e-12,27.61e-9,11.48e-12,30.47e-9,11.48e-12,35.61e-9,11.48e-12,48.17e-9,11.48e-12,81.10e-9,11.48e-12,163.4e-9,11.48e-12,353.6e-9,11.48e-12,759.9e-9,11.48e-12,1.800,11.48e-12,1.800,11.48e-12,1.800,11.48e-12,1.800,11.48e-12,1.800,11.48e-12,1.800,11.48e-12,1.800,11.48e-12,1.800,11.48e-12,1.800,11.48e-12,1.800,11.48e-12,1.800
21.46e-12,18.80e-9,21.46e-12,22.62e-9,21.46e-12,26.51e-9,21.46e-12,30.57e-9,21.46e-12,35.25e-9,21.46e-12,42.30e-9,21.46e-12,56.81e-9,21.46e-12,91.75e-9,21.46e-12,176.1e-9,21.46e-12,368.4e-9,21.46e-12,776.8e-9,21.46e-12,1.800,21.46e-12,1.800,21.46e-12,1.800,21.46e-12,1.800,21.46e-12,1.800,21.46e-12,1.800,21.46e-12,1.800,21.46e-12,1.800,21.46e-12,1.800,21.46e-12,1.800,21.46e-12,1.800
38.43e-12,4.134e-9,38.37e-12,6.773e-9,38.34e-12,9.806e-9,38.32e-12,13.30e-9,38.33e-12,17.72e-9,38.29e-12,24.88e-9,38.23e-12,39.16e-9,38.18e-12,74.57e-9,38.14e-12,159.6e-9,38.12e-12,352.7e-9,38.10e-12,762.3e-9,38.43e-12,1.800,38.37e-12,1.800,38.34e-12,1.800,38.32e-12,1.800,38.33e-12,1.800,38.29e-12,1.800,38.23e-12,1.800,38.18e-12,1.800,38.14e-12,1.800,38.12e-12,1.800,38.10e-12,1.800
42.21e-12,563.3e-12,42.01e-12,2.570e-9,41.88e-12,5.033e-9,41.78e-12,8.006e-9,41.72e-12,11.95e-9,41.63e-12,18.67e-9,41.51e-12,32.81e-9,41.43e-12,67.94e-9,41.36e-12,152.7e-9,41.30e-12,345.7e-9,41.26e-12,755.1e-9,42.21e-12,1.800,42.01e-12,1.800,41.88e-12,1.800,41.78e-12,1.800,41.72e-12,1.800,41.63e-12,1.800,41.51e-12,1.800,41.43e-12,1.800,41.36e-12,1.800,41.30e-12,1.800,41.26e-12,1.800
49.76e-12,-4.119e-9,49.30e-12,-3.321e-9,48.96e-12,-2.033e-9,48.70e-12,-170.5e-12,48.51e-12,2.757e-9,48.30e-12,8.321e-9,48.09e-12,21.76e-9,47.92e-12,56.07e-9,47.78e-12,140.1e-9,47.67e-12,332.4e-9,47.56e-12,741.3e-9,49.76e-12,1.800,49.30e-12,1.800,48.96e-12,1.800,48.70e-12,1.800,48.51e-12,1.800,48.30e-12,1.800,48.09e-12,1.800,47.92e-12,1.800,47.78e-12,1.800,47.67e-12,1.800,47.56e-12,1.800
64.87e-12,-6.570e-9,63.88e-12,-7.411e-9,63.12e-12,-7.945e-9,62.54e-12,-8.029e-9,62.09e-12,-7.034e-9,61.65e-12,-3.309e-9,61.23e-12,8.413e-9,60.90e-12,40.86e-9,60.62e-12,123.1e-9,60.41e-12,313.7e-9,60.17e-12,721.0e-9,64.87e-12,1.800,63.88e-12,1.800,63.12e-12,1.800,62.54e-12,1.800,62.09e-12,1.800,61.65e-12,1.800,61.23e-12,1.800,60.90e-12,1.800,60.62e-12,1.800,60.41e-12,1.800,60.17e-12,1.800
