time	V(Vrefp,Vref)	V(vdecap)	V(vref)	V(vrefp)	I(C_electrolytic)	I(C_l)	I(C_x7r)	I(I1)
0.000000000000000e+000	-2.249479e-004	1.399975e+000	1.400000e+000	1.399775e+000	6.580000e-016	1.399775e-024	2.799950e-018	5.000000e-007
9.765624960978488e-016	-2.249479e-004	1.399975e+000	1.400000e+000	1.399775e+000	1.645000e-016	-1.952685e-009	-5.960464e-007	5.019526e-007
1.953124992195698e-015	-2.249479e-004	1.399975e+000	1.400000e+000	1.399775e+000	0.000000e+000	-3.905333e-009	-6.357829e-007	5.039053e-007
3.906249984391395e-015	-2.249479e-004	1.399975e+000	1.400000e+000	1.399775e+000	0.000000e+000	-7.810551e-009	-3.576279e-007	5.078106e-007
7.812499968782791e-015	-2.249479e-004	1.399975e+000	1.400000e+000	1.399775e+000	0.000000e+000	-1.562094e-008	-3.973643e-008	5.156211e-007
1.562499993756558e-014	-2.249479e-004	1.399975e+000	1.400000e+000	1.399775e+000	0.000000e+000	-3.124144e-008	7.947286e-008	5.312422e-007
3.124999987513116e-014	-2.249479e-004	1.399975e+000	1.400000e+000	1.399775e+000	0.000000e+000	-6.248132e-008	9.934108e-009	5.624844e-007
6.249999975026233e-014	-2.249479e-004	1.399975e+000	1.400000e+000	1.399775e+000	0.000000e+000	-1.249566e-007	2.980232e-008	6.249688e-007
1.249999995005247e-013	-2.249479e-004	1.399975e+000	1.400000e+000	1.399775e+000	0.000000e+000	-2.498887e-007	1.862645e-008	7.499375e-007
2.499999990010493e-013	-2.250671e-004	1.399975e+000	1.400000e+000	1.399775e+000	0.000000e+000	-4.996798e-007	-3.725290e-009	9.998749e-007
9.999999960041972e-013	-2.262592e-004	1.399975e+000	1.400000e+000	1.399774e+000	0.000000e+000	-1.996380e-006	-2.638747e-009	2.499500e-006
1.999999992008394e-012	-2.299547e-004	1.399975e+000	1.400000e+000	1.399770e+000	0.000000e+000	-3.986536e-006	-1.241763e-008	4.499000e-006
3.999999984016789e-012	-2.448559e-004	1.399975e+000	1.400000e+000	1.399755e+000	0.000000e+000	-7.948279e-006	-4.990337e-008	8.498000e-006
7.999999968033578e-012	-3.041029e-004	1.399975e+000	1.400000e+000	1.399696e+000	0.000000e+000	-1.579817e-005	-1.979060e-007	1.649600e-005
1.599999993606716e-011	-5.382299e-004	1.399975e+000	1.400000e+000	1.399462e+000	0.000000e+000	-3.120899e-005	-7.830774e-007	3.249200e-005
3.199999987213431e-011	-1.451969e-003	1.399975e+000	1.400000e+000	1.398548e+000	0.000000e+000	-6.091653e-005	-3.067534e-006	6.448400e-005
6.399999974426862e-011	-4.938126e-003	1.399975e+000	1.400000e+000	1.395062e+000	0.000000e+000	-1.161852e-004	-1.178278e-005	1.284680e-004
